age,cat0,cat1,cat2,cat3,region_iso
67,0,0,0,b,RU-AD
47,0,0,0,b,RU-KK
20,0,0,0,b,RU-DA
65,0,1,0,a,RU-VGG
46,0,0,0,b,RU-TAM
20,0,0,0,b,RU-KYA
36,0,0,0,b,RU-KRS
50,0,1,0,c,RU-BA
48,0,1,0,a,RU-KO
24,0,1,1,c,RU-KYA
48,0,0,0,b,RU-ORE
61,0,0,0,c,RU-BU
22,0,0,0,a,RU-NIZ
20,1,0,0,a,RU-MAG
32,0,1,0,b,RU-KR
26,0,0,0,b,RU-MOW
47,0,0,0,b,RU-CHE
50,0,1,0,a,RU-UD
64,0,1,0,a,RU-TOM
51,0,1,0,a,RU-BRY
17,0,0,0,a,RU-TVE
58,1,0,0,c,RU-SAM
60,0,0,0,a,RU-KRS
66,0,1,0,b,RU-TOM
27,1,1,0,a,RU-SAK
39,0,0,0,a,RU-KHA
36,0,0,0,c,RU-KIR
35,0,0,0,a,RU-CE
32,0,0,0,b,RU-NVS
69,0,0,1,a,RU-ME
21,1,0,0,a,RU-KIR
44,1,1,0,b,RU-SAK
23,0,1,0,b,RU-KEM
31,0,1,1,a,RU-AL
27,1,0,0,a,RU-TAM
61,0,1,0,c,RU-YAN
54,0,0,0,a,RU-CU
47,0,1,1,c,RU-BU
35,1,0,0,a,RU-KGN
41,0,0,0,b,RU-TYU
32,0,0,0,b,RU-NGR
24,0,1,0,a,RU-KC
35,0,1,0,a,RU-NEN
45,1,1,1,a,RU-AL
46,0,1,0,b,RU-ALT
46,0,0,0,a,RU-IN
25,1,0,0,a,RU-TA
47,0,0,0,b,RU-TOM
64,0,1,0,a,RU-BRY
19,0,0,0,a,RU-TUL
58,0,0,0,a,RU-KOS
40,1,1,0,a,RU-CHE
52,0,0,0,a,RU-MOW
17,0,0,0,a,RU-RYA
48,0,0,0,a,RU-BRY
24,0,0,1,a,RU-SE
45,0,0,0,c,RU-KHM
53,1,0,0,c,RU-KOS
20,0,0,1,a,RU-MAG
38,0,1,0,a,RU-NGR
57,0,0,0,a,RU-LIP
25,0,0,1,a,RU-KR
25,0,0,0,a,RU-AMU
42,1,0,0,c,RU-SVE
24,0,0,0,a,RU-PSK
52,0,0,0,a,RU-STA
61,0,0,1,a,RU-BU
22,0,0,0,b,RU-KOS
56,0,0,0,c,RU-NGR
49,1,1,0,b,RU-IVA
63,1,0,0,a,RU-MOW
52,0,0,0,a,RU-VLA
33,0,0,0,c,RU-KAM
20,1,1,0,a,RU-VGG
32,0,1,1,a,RU-CU
32,0,1,0,a,RU-YEV
22,0,0,0,a,RU-AMU
32,0,0,1,c,RU-SVE
27,0,0,0,a,RU-KIR
66,0,1,0,a,RU-KEM
25,0,0,0,b,RU-NIZ
69,0,0,0,b,RU-KC
40,0,1,0,a,RU-SAK
32,0,1,0,c,RU-TY
25,0,1,0,a,RU-NVS
37,0,0,0,a,RU-IN
39,0,0,1,b,RU-RYA
19,0,0,0,a,RU-KC
60,0,0,0,b,RU-KB
29,1,0,1,c,RU-AL
19,1,0,0,a,RU-NGR
42,0,0,1,b,RU-MUR
33,1,0,0,a,RU-TUL
21,0,0,0,a,RU-KGD
40,0,0,0,a,RU-TUL
19,0,0,0,a,RU-VLA
48,0,0,0,b,RU-KHA
61,1,1,0,c,RU-KL
27,0,0,0,a,RU-SVE
30,0,0,0,b,RU-TYU
36,0,0,0,c,RU-PSK
44,0,0,0,c,RU-IVA
26,1,0,0,a,RU-CHU
42,1,0,0,a,RU-DA
18,0,0,0,a,RU-MOS
35,0,0,1,a,RU-LEN
24,0,0,0,b,RU-MUR
38,0,0,1,a,RU-NEN
60,0,0,0,a,RU-MUR
17,0,0,0,a,RU-TOM
52,0,0,0,c,RU-MAG
39,0,0,0,a,RU-MO
20,0,0,0,a,RU-TYU
46,1,0,0,a,RU-OMS
38,1,1,0,c,RU-ORE
37,1,1,0,c,RU-KAM
37,0,1,0,a,RU-KHA
64,0,0,0,b,RU-NGR
48,0,0,1,a,RU-TOM
49,1,0,0,a,RU-KDA
58,0,1,0,c,RU-SAR
17,0,1,0,c,RU-TOM
18,0,1,0,a,RU-TAM
70,0,0,0,a,RU-PER
25,1,0,0,c,RU-AD
60,1,0,0,a,RU-PSK
32,0,0,0,b,RU-SVE
44,0,0,0,c,RU-NVS
41,0,0,0,a,RU-CHU
62,0,0,0,b,RU-BRY
26,0,0,0,b,RU-KL
40,0,0,0,a,RU-KL
24,0,1,0,a,RU-LEN
17,1,1,0,b,RU-IN
42,0,0,0,a,RU-BU
18,0,1,0,c,RU-ZAB
47,0,1,0,a,RU-NGR
46,1,0,0,a,RU-BU
44,0,0,0,b,RU-AMU
43,1,0,0,b,RU-ME
34,1,0,0,a,RU-KHM
17,0,0,0,c,RU-YAN
30,1,0,0,c,RU-NVS
43,0,0,0,a,RU-STA
67,0,0,0,a,RU-CHE
24,0,0,0,a,RU-BEL
39,1,0,0,c,RU-NGR
30,1,0,0,a,RU-KLU
24,1,0,0,a,RU-LIP
17,1,0,0,b,RU-KL
22,1,1,0,c,RU-TA
35,1,0,0,b,RU-KRS
51,0,1,0,a,RU-KHM
35,0,0,0,a,RU-ORL
47,1,0,0,a,RU-KHM
33,1,0,0,a,RU-VLA
57,0,0,0,b,RU-AMU
24,1,0,0,a,RU-VLG
19,1,0,0,b,RU-VOR
58,1,1,0,a,RU-YEV
47,0,1,1,c,RU-PSK
25,1,1,0,a,RU-BU
30,0,0,0,b,RU-LIP
49,0,1,0,c,RU-KEM
56,1,0,0,b,RU-KGN
20,0,0,0,b,RU-NEN
32,0,0,0,a,RU-NEN
21,0,1,0,b,RU-KC
46,0,0,0,a,RU-YAN
35,0,0,0,a,RU-KO
17,0,0,0,a,RU-SMO
65,0,1,0,a,RU-KO
51,0,1,0,a,RU-MAG
21,0,1,0,a,RU-MUR
21,0,0,0,b,RU-KB
23,0,0,1,b,RU-SA
23,1,0,0,a,RU-ME
58,0,0,0,a,RU-KR
42,0,0,0,b,RU-BEL
62,0,1,0,a,RU-AMU
26,0,1,0,b,RU-CHE
29,1,0,0,c,RU-TVE
36,1,0,0,c,RU-KC
32,0,0,0,a,RU-ORE
28,0,0,0,b,RU-SAR
62,0,1,0,a,RU-ZAB
42,0,0,0,c,RU-MAG
17,0,1,0,b,RU-KDA
35,1,1,1,c,RU-PRI
33,0,1,0,b,RU-PNZ
45,0,0,0,a,RU-YEV
17,0,0,0,b,RU-NIZ
34,0,0,0,c,RU-TUL
49,0,1,0,a,RU-ORL
44,0,0,0,a,RU-ZAB
27,0,0,0,a,RU-AL
68,1,0,0,a,RU-KGN
32,1,0,0,c,RU-AD
29,0,0,0,a,RU-YAN
19,0,0,0,a,RU-IVA
50,1,0,0,a,RU-KOS
32,0,1,0,a,RU-AL
30,0,0,0,c,RU-SA
51,0,0,0,a,RU-ULY
48,0,0,0,a,RU-AL
56,0,0,0,c,RU-PNZ
39,0,1,0,a,RU-AMU
24,0,0,1,c,RU-BRY
38,0,1,0,a,RU-KGD
45,0,0,0,b,RU-NEN
31,1,0,0,b,RU-TY
37,1,0,0,b,RU-PNZ
53,0,1,0,a,RU-PSK
43,0,0,0,a,RU-CE
46,0,0,0,a,RU-NEN
32,0,0,0,a,RU-TY
28,0,1,0,c,RU-TVE
38,1,1,0,b,RU-PER
53,0,0,0,c,RU-PER
21,1,1,0,c,RU-SAK
24,0,1,0,a,RU-YAN
50,0,0,0,c,RU-BU
23,0,0,0,a,RU-BRY
34,0,0,0,a,RU-BRY
39,0,0,0,b,RU-RYA
39,0,0,0,a,RU-YAR
18,0,0,1,c,RU-ULY
40,0,0,0,a,RU-DA
23,0,0,0,b,RU-RYA
43,0,0,0,a,RU-KL
50,0,0,0,a,RU-TA
26,0,0,0,a,RU-YEV
19,1,0,0,a,RU-STA
18,0,0,0,a,RU-IVA
58,0,1,0,a,RU-KDA
41,0,0,0,a,RU-KRS
62,0,0,0,c,RU-MUR
46,0,1,0,b,RU-KHM
58,0,1,1,c,RU-IN
29,0,0,0,b,RU-SMO
32,1,0,0,b,RU-MO
39,0,0,0,a,RU-KOS
19,0,0,1,a,RU-RYA
63,0,0,0,a,RU-KLU
27,1,0,0,c,RU-DA
22,0,0,0,a,RU-KL
28,0,0,0,c,RU-KR
28,0,0,0,c,RU-CU
44,0,1,0,c,RU-KGN
32,1,0,0,b,RU-KGN
48,0,0,0,a,RU-CE
25,0,0,0,a,RU-KIR
55,0,1,0,a,RU-OMS
20,1,0,0,b,RU-SAM
49,1,0,0,a,RU-PSK
32,1,1,0,c,RU-KYA
31,0,0,0,b,RU-KC
23,0,1,1,a,RU-UD
21,0,1,0,c,RU-KB
65,0,0,1,b,RU-TA
42,0,1,0,c,RU-KAM
35,0,0,0,a,RU-SAK
31,0,0,0,a,RU-TVE
46,0,0,0,c,RU-TA
30,0,1,0,a,RU-KAM
24,0,0,0,a,RU-KL
56,0,1,0,b,RU-ME
35,0,0,0,a,RU-SA
30,0,0,0,b,RU-KOS
58,0,1,0,a,RU-NGR
47,0,0,0,a,RU-CU
32,0,0,0,a,RU-LIP
35,0,1,0,a,RU-TOM
63,0,0,1,a,RU-YAN
36,0,0,1,a,RU-NEN
62,1,0,0,a,RU-KK
27,0,1,1,c,RU-MAG
29,0,0,0,a,RU-AD
49,0,0,0,b,RU-KDA
54,1,1,0,a,RU-SPE
17,1,0,0,c,RU-ORL
60,0,0,0,b,RU-YAN
29,0,1,0,a,RU-TUL
17,0,1,0,b,RU-CHE
23,0,1,1,c,RU-CU
21,0,0,0,c,RU-KDA
55,0,0,0,a,RU-ZAB
49,0,0,0,a,RU-KHM
38,0,0,0,a,RU-PER
35,0,0,0,a,RU-SAM
24,0,1,0,a,RU-KHA
19,0,0,0,b,RU-PRI
24,0,0,0,a,RU-SAM
50,0,0,0,a,RU-KO
24,0,1,1,a,RU-NEN
53,0,0,0,a,RU-SAM
47,0,0,0,c,RU-TUL
41,0,0,0,b,RU-BEL
48,0,0,0,a,RU-KEM
42,0,1,1,a,RU-RYA
68,0,0,0,c,RU-KB
38,0,0,0,a,RU-KEM
58,0,0,0,a,RU-ORL
52,0,1,0,a,RU-OMS
31,0,1,1,b,RU-KYA
21,0,1,0,c,RU-SA
25,0,1,0,a,RU-TVE
19,0,1,0,a,RU-KB
29,0,0,0,a,RU-NEN
50,1,0,0,b,RU-IRK
18,0,1,0,a,RU-TA
19,0,0,0,b,RU-TYU
45,1,0,1,a,RU-UD
18,1,1,0,a,RU-ARK
61,0,0,0,a,RU-CHE
36,0,1,0,a,RU-PSK
23,0,1,0,b,RU-LIP
56,0,0,0,b,RU-TOM
24,0,0,1,b,RU-KR
30,1,0,0,a,RU-RYA
24,0,0,0,a,RU-YEV
22,0,0,0,a,RU-KRS
18,1,0,0,b,RU-PRI
25,0,0,0,a,RU-AST
17,0,1,0,a,RU-VLA
45,1,0,0,c,RU-CHU
35,0,0,0,a,RU-PSK
28,0,1,0,c,RU-SPE
17,0,0,0,a,RU-MO
47,0,0,0,a,RU-TY
33,0,0,0,a,RU-KHM
65,0,0,0,a,RU-MOW
33,0,1,0,a,RU-KK
41,0,0,0,a,RU-MOS
64,0,1,0,a,RU-TYU
18,0,0,1,b,RU-KLU
18,0,0,0,a,RU-KR
19,0,1,0,a,RU-RYA
50,0,1,0,a,RU-ORL
18,0,1,0,a,RU-ROS
66,0,0,0,a,RU-VGG
40,0,0,0,a,RU-TA
39,0,0,1,b,RU-VGG
35,0,0,0,b,RU-SAM
31,1,1,0,a,RU-IN
22,0,1,0,a,RU-YAN
20,0,0,0,a,RU-TOM
19,0,0,0,b,RU-LEN
20,0,0,0,c,RU-SAK
29,1,1,0,a,RU-KRS
38,1,0,0,a,RU-ORE
38,0,1,0,a,RU-LIP
57,1,1,0,a,RU-KRS
30,0,1,0,b,RU-PRI
62,0,1,0,c,RU-KYA
20,0,0,0,a,RU-SAM
33,0,0,0,a,RU-BRY
53,0,1,1,b,RU-ORE
33,0,0,0,c,RU-CHU
67,0,0,0,a,RU-AL
48,0,1,0,c,RU-SE
59,0,0,0,a,RU-CU
20,0,0,0,c,RU-SAK
19,0,0,0,c,RU-SPE
26,0,0,0,a,RU-KAM
36,1,1,1,a,RU-VLA
34,0,0,0,b,RU-VOR
28,1,0,0,c,RU-AD
70,1,0,0,a,RU-KL
22,0,1,0,c,RU-VLG
64,0,0,0,c,RU-KB
52,1,0,0,c,RU-TUL
58,1,1,0,a,RU-PSK
37,0,0,0,b,RU-KIR
40,1,0,0,b,RU-TUL
34,0,0,0,a,RU-ULY
17,1,1,0,a,RU-MOS
23,0,0,0,b,RU-KRS
23,0,0,0,a,RU-TVE
20,1,0,0,a,RU-ORL
29,0,0,0,a,RU-YAN
35,0,0,0,a,RU-TOM
21,0,0,0,b,RU-MOS
29,0,0,0,a,RU-KC
40,1,1,0,a,RU-TVE
22,0,0,0,b,RU-TUL
46,0,0,0,b,RU-MAG
18,0,1,0,c,RU-MUR
25,1,0,1,a,RU-SVE
38,0,0,0,a,RU-SAM
25,0,0,0,a,RU-KDA
55,1,0,0,b,RU-PRI
26,0,0,1,a,RU-AMU
38,0,0,0,a,RU-CE
48,0,0,0,b,RU-CHE
44,1,1,0,c,RU-NVS
32,0,1,0,a,RU-BA
47,0,0,1,a,RU-NGR
22,0,0,0,b,RU-KEM
33,0,0,0,a,RU-AD
23,1,1,0,b,RU-SAM
22,1,0,0,a,RU-MAG
20,0,0,0,a,RU-KLU
20,0,1,0,a,RU-PER
46,0,1,0,a,RU-SAR
19,1,0,0,a,RU-PRI
36,0,0,0,a,RU-PNZ
34,0,0,0,a,RU-NGR
55,0,0,0,a,RU-BU
48,0,0,0,a,RU-ZAB
49,1,0,0,a,RU-KGN
59,0,1,0,c,RU-UD
29,0,0,0,a,RU-BEL
64,0,0,0,a,RU-ORL
43,0,1,0,a,RU-AL
28,0,1,0,c,RU-AST
67,0,0,0,c,RU-TVE
24,0,0,0,c,RU-YAR
31,0,0,0,c,RU-VOR
19,0,0,0,a,RU-BEL
19,0,0,0,a,RU-AMU
41,1,0,0,b,RU-ARK
48,1,0,0,c,RU-NVS
27,0,0,0,b,RU-KAM
23,0,1,0,a,RU-KR
42,0,0,0,b,RU-TOM
37,1,0,0,a,RU-TY
27,0,0,0,b,RU-AMU
33,0,0,0,c,RU-ORE
50,0,0,0,a,RU-NGR
32,0,0,0,a,RU-NIZ
48,1,0,0,b,RU-ULY
48,0,0,0,a,RU-TY
55,0,0,0,b,RU-TAM
31,0,0,0,a,RU-KGN
47,1,0,0,b,RU-KL
28,0,0,0,a,RU-SVE
37,0,0,0,c,RU-TY
32,0,0,0,c,RU-TVE
42,0,0,0,b,RU-AMU
18,0,0,0,a,RU-KC
24,1,1,0,a,RU-TY
48,0,0,0,a,RU-KGD
34,0,1,1,a,RU-UD
22,0,0,1,b,RU-BRY
32,0,0,0,b,RU-UD
24,1,0,0,a,RU-ALT
24,0,0,0,a,RU-KO
68,0,1,0,a,RU-KDA
41,1,0,0,a,RU-SAR
39,0,0,1,a,RU-KGD
29,0,0,0,c,RU-TA
61,0,0,0,b,RU-BA
32,0,1,1,c,RU-BA
20,0,0,0,c,RU-KRS
28,0,1,0,c,RU-SAM
20,1,0,0,a,RU-YEV
20,0,0,0,a,RU-BRY
20,0,0,0,a,RU-KEM
27,0,1,0,a,RU-IN
28,0,1,0,a,RU-AMU
25,0,1,0,b,RU-KHA
38,0,0,0,c,RU-ROS
56,0,0,0,a,RU-IVA
26,0,1,0,a,RU-KK
40,0,0,0,b,RU-ME
39,0,0,0,c,RU-RYA
38,0,0,0,a,RU-MAG
51,0,1,0,b,RU-PRI
58,0,0,0,b,RU-CE
32,0,1,0,a,RU-VLG
56,0,1,0,a,RU-PNZ
25,0,0,1,b,RU-ALT
45,0,1,0,b,RU-PSK
21,0,0,0,b,RU-KGD
50,0,0,0,b,RU-MAG
20,0,0,0,a,RU-PER
31,0,0,0,c,RU-BU
50,0,0,0,a,RU-VLA
60,0,0,0,c,RU-PNZ
35,0,1,0,a,RU-AL
18,0,0,1,b,RU-BEL
64,0,1,0,a,RU-IVA
50,0,1,0,a,RU-TYU
25,1,1,0,b,RU-AST
29,1,0,0,b,RU-KYA
20,1,0,0,c,RU-TUL
38,0,0,1,a,RU-TAM
19,0,0,0,a,RU-KL
35,0,0,0,a,RU-YAR
69,0,1,0,a,RU-PER
36,0,0,0,b,RU-VLA
59,0,0,0,a,RU-NVS
24,1,1,0,a,RU-KC
70,0,0,0,c,RU-KEM
51,1,0,0,a,RU-BEL
34,1,0,0,a,RU-OMS
37,1,1,0,a,RU-SAR
41,0,0,0,b,RU-NIZ
51,0,0,0,a,RU-KK
21,0,1,0,a,RU-AD
30,0,0,0,a,RU-PER
39,0,0,0,a,RU-CU
51,0,1,0,a,RU-MOW
41,0,0,0,a,RU-KLU
35,0,0,0,a,RU-TOM
30,0,0,0,c,RU-RYA
61,0,0,0,a,RU-OMS
53,0,1,0,b,RU-KB
52,1,1,0,a,RU-ZAB
57,0,0,0,c,RU-SVE
27,0,0,0,b,RU-KGD
19,0,1,0,a,RU-IVA
38,0,0,0,a,RU-KYA
32,1,0,0,a,RU-TAM
17,1,0,0,a,RU-PNZ
44,0,1,0,b,RU-AST
61,1,0,0,b,RU-PSK
21,0,0,0,b,RU-MAG
27,0,0,0,c,RU-ROS
22,0,0,0,a,RU-SAM
35,0,0,0,a,RU-SA
66,0,0,0,b,RU-YAN
19,1,0,0,c,RU-ULY
25,0,0,0,b,RU-NGR
64,1,1,0,a,RU-NGR
43,0,0,0,a,RU-KHA
60,0,1,0,a,RU-VLG
28,0,1,0,a,RU-LEN
60,0,0,0,b,RU-KC
22,0,0,0,a,RU-YEV
29,1,0,0,a,RU-SAR
32,1,1,0,b,RU-PNZ
18,0,1,0,c,RU-CHU
24,0,0,0,a,RU-ZAB
67,0,0,0,c,RU-NVS
31,1,0,0,a,RU-AD
31,0,0,0,c,RU-OMS
38,0,1,0,a,RU-TUL
61,0,0,1,a,RU-AD
45,0,0,0,b,RU-PSK
49,0,1,0,a,RU-KHA
29,0,0,0,a,RU-YAR
22,0,0,1,b,RU-NGR
28,0,1,0,a,RU-AL
54,0,1,1,b,RU-CHU
17,0,0,0,b,RU-KRS
54,0,1,0,a,RU-OMS
59,0,0,0,a,RU-IRK
30,0,0,0,b,RU-ARK
26,1,0,0,a,RU-CE
28,0,0,0,a,RU-TAM
48,0,0,0,c,RU-KIR
41,1,0,0,c,RU-KL
18,0,0,0,a,RU-KIR
64,0,0,0,a,RU-ZAB
62,1,0,0,a,RU-TY
47,0,1,0,c,RU-BU
37,1,0,0,a,RU-KGD
33,0,1,0,a,RU-CHU
17,1,1,0,a,RU-SVE
38,0,0,0,c,RU-TVE
32,0,0,0,a,RU-YAN
25,1,1,0,c,RU-VLA
41,0,1,0,c,RU-RYA
21,0,0,0,b,RU-IN
39,0,0,0,c,RU-TAM
49,0,1,0,a,RU-IRK
49,0,1,1,a,RU-KR
65,0,1,0,a,RU-PNZ
29,0,0,0,a,RU-UD
55,0,0,0,a,RU-AL
23,0,1,1,c,RU-ZAB
19,0,0,0,a,RU-KK
41,0,0,0,a,RU-TUL
55,1,1,0,a,RU-TA
69,0,0,0,a,RU-CU
47,0,0,0,a,RU-VOR
47,0,0,0,a,RU-UD
48,0,1,1,a,RU-KK
19,0,0,0,b,RU-YAR
43,0,0,0,a,RU-PER
58,0,1,0,c,RU-SE
59,0,0,0,a,RU-MUR
31,0,1,1,a,RU-KK
45,0,1,0,c,RU-LEN
48,0,0,1,b,RU-KL
44,0,0,0,b,RU-BA
19,1,0,1,c,RU-MO
65,0,0,0,c,RU-NIZ
27,0,0,0,c,RU-CE
57,0,0,0,a,RU-LEN
28,0,0,0,a,RU-ULY
26,0,1,0,b,RU-KK
28,1,0,0,c,RU-AST
45,0,0,0,c,RU-KO
24,0,0,0,c,RU-TYU
49,1,0,0,a,RU-AL
31,0,1,0,b,RU-PRI
51,0,0,0,a,RU-KHA
32,1,0,0,a,RU-SMO
50,0,1,0,a,RU-SMO
38,0,0,0,a,RU-KLU
21,0,0,0,a,RU-ZAB
56,0,0,0,c,RU-KR
32,0,0,0,b,RU-RYA
68,0,1,0,c,RU-VLA
47,0,1,0,a,RU-IRK
26,0,0,0,b,RU-TA
43,0,1,0,a,RU-SPE
29,0,0,0,a,RU-KR
53,0,1,0,c,RU-KAM
39,0,0,0,a,RU-KEM
38,0,1,0,c,RU-TUL
19,0,0,0,b,RU-ORL
36,1,0,0,a,RU-KRS
27,0,0,0,a,RU-SAR
23,0,1,0,a,RU-VLA
25,1,0,0,a,RU-IRK
63,0,0,0,a,RU-YEV
48,1,0,1,b,RU-TUL
39,0,0,0,a,RU-YEV
53,0,0,0,c,RU-TUL
30,1,1,0,a,RU-KL
35,1,0,0,c,RU-PNZ
43,0,1,0,a,RU-CHU
36,0,1,0,a,RU-BU
20,0,0,0,a,RU-BU
35,0,0,0,a,RU-CHU
31,1,0,0,a,RU-ALT
18,0,0,0,a,RU-KK
23,0,1,0,b,RU-SA
27,0,0,0,c,RU-TA
29,1,1,0,a,RU-BU
25,0,0,0,a,RU-NEN
36,0,0,0,a,RU-CHU
18,1,0,0,c,RU-KDA
20,0,0,0,a,RU-YEV
33,0,1,0,a,RU-CU
31,0,1,0,c,RU-STA
53,1,1,1,a,RU-AST
56,1,0,0,a,RU-PNZ
40,0,0,0,a,RU-MAG
40,0,1,0,c,RU-ZAB
39,0,0,0,b,RU-KDA
22,0,0,1,a,RU-TAM
37,0,0,0,a,RU-IN
68,0,0,0,a,RU-ORL
52,0,0,0,a,RU-YEV
24,0,0,0,b,RU-VOR
27,1,0,0,a,RU-PNZ
41,0,1,0,c,RU-SAR
22,0,1,0,a,RU-SVE
33,0,0,1,b,RU-KEM
22,1,1,1,a,RU-KOS
44,0,0,0,a,RU-SA
57,1,1,0,a,RU-KHM
36,0,0,0,a,RU-KR
68,0,0,1,b,RU-KC
55,1,0,0,a,RU-TVE
26,1,0,0,a,RU-CHE
41,0,0,1,a,RU-MOW
51,0,0,0,c,RU-SE
34,0,1,0,a,RU-ARK
37,0,1,0,c,RU-OMS
30,0,1,0,b,RU-YEV
59,1,1,0,b,RU-YEV
40,0,0,0,b,RU-KGD
45,0,0,0,b,RU-SA
60,0,0,0,a,RU-NGR
25,0,0,0,a,RU-TUL
34,0,1,0,c,RU-ROS
52,0,1,0,b,RU-AL
29,0,1,0,a,RU-SPE
21,0,0,0,a,RU-SAR
46,0,1,0,a,RU-CE
43,0,1,0,a,RU-VLG
22,0,1,0,a,RU-SAM
52,0,0,0,a,RU-SMO
35,1,1,0,b,RU-SAM
20,0,0,0,a,RU-TA
29,1,0,0,a,RU-KGD
69,0,1,0,c,RU-CE
48,0,0,0,a,RU-PNZ
29,0,0,0,a,RU-PSK
31,0,0,0,a,RU-IN
28,0,0,0,a,RU-KDA
30,0,1,0,a,RU-CHE
55,0,0,0,a,RU-ME
45,0,0,0,a,RU-CHE
63,1,1,0,a,RU-KL
21,0,1,0,c,RU-BU
38,0,1,0,a,RU-NVS
59,0,1,0,b,RU-MAG
38,0,1,1,c,RU-IN
37,0,0,0,a,RU-PER
52,1,0,0,b,RU-KLU
39,0,0,0,a,RU-NGR
